question,sentence,answer
what is corpus christi holiday,"The Feast of Corpus Christi ( Latin for Body of Christ ), also known as Corpus Domini, is a Latin Rite liturgical solemnity celebrating the tradition and belief in the body and blood of Jesus Christ and his Real Presence in the Eucharist .",a Latin Rite liturgical solemnity celebrating the tradition and belief in the body and blood of Jesus Christ and his Real Presence in the Eucharist
what is corpus christi holiday,"The Feast of Corpus Christi ( Latin for Body of Christ ), also known as Corpus Domini, is a Latin Rite liturgical solemnity celebrating the tradition and belief in the body and blood of Jesus Christ and his Real Presence in the Eucharist .",a Latin Rite liturgical solemnity celebrating the tradition and belief in the body and blood of Jesus Christ and his Real Presence in the Eucharist
who was the first european in the americas,"The start of the systematic European colonization of the Americas is typically dated to 1492, when a Spanish expedition headed by Christopher Columbus sailed for India to open trade but inadvertently discovered the Americas.",Christopher Columbus
who was the first european in the americas,"The start of the systematic European colonization of the Americas is typically dated to 1492, when a Spanish expedition headed by Christopher Columbus sailed for India to open trade but inadvertently discovered the Americas.",Christopher Columbus
where is testosterone produced,"Testosterone is a steroid hormone from the androgen group and is found in mammals, reptiles, birds, and other vertebrates .","mammals, reptiles, birds, and other vertebrates"
where is testosterone produced,"In mammals , testosterone is primarily secreted in the testicles of males and the ovaries of females , although small amounts are also secreted by the adrenal glands .",mammals
where is testosterone produced,"In mammals , testosterone is primarily secreted in the testicles of males and the ovaries of females , although small amounts are also secreted by the adrenal glands .","In mammals , testosterone is primarily secreted in the testicles of males and the ovaries of females , although small amounts are also secreted by the adrenal glands"
where is testosterone produced,"In men, testosterone plays a key role in the development of male reproductive tissues such as the testis and prostate as well as promoting secondary sexual characteristics such as increased muscle , bone mass, and the growth of body hair .",men
what is the difference between multistage and cluster sampling,"Cluster sampling is a sampling technique used when ""natural"" but relatively homogeneous groupings are evident in a statistical population .","Cluster sampling is a sampling technique used when ""natural"" but relatively homogeneous groupings are evident in a statistical population"
where is jamestown north carolina,"Jamestown is a town in Guilford County , North Carolina , United States , and is a suburb of the nearby cities of Greensboro and High Point.","Guilford County , North Carolina , United States"
where is jamestown north carolina,"Jamestown is a town in Guilford County , North Carolina , United States , and is a suburb of the nearby cities of Greensboro and High Point.","Jamestown is a town in Guilford County , North Carolina , United States , and is a suburb of the nearby cities of Greensboro and High Point"
what is cu the element,Copper is a chemical element with the symbol Cu (from ) and atomic number 29.,a chemical element with the symbol Cu (from ) and atomic number 29
what is cu the element,Copper is a chemical element with the symbol Cu (from ) and atomic number 29.,Copper
when was jamestown colonized,"Established by the Virginia Company of London as ""James Fort"" on May 14, 1607 ( O.S. , May 24, 1607 N.S. ), it followed several earlier failed attempts, including the Lost Colony of Roanoke .","May 14, 1607"
when was jamestown colonized,"Established by the Virginia Company of London as ""James Fort"" on May 14, 1607 ( O.S. , May 24, 1607 N.S. ), it followed several earlier failed attempts, including the Lost Colony of Roanoke .","May 14, 1607"
who is on the $10. bill,"The first U.S. Secretary of the Treasury (1789–95), Alexander Hamilton , is currently featured on the obverse of the bill, while the U.S. Treasury Building is featured on the reverse .",Alexander Hamilton
who is on the $10. bill,"The first U.S. Secretary of the Treasury (1789–95), Alexander Hamilton , is currently featured on the obverse of the bill, while the U.S. Treasury Building is featured on the reverse .",Alexander Hamilton
when was andy griffith born,"Andy Samuel Griffith (June 1, 1926 – July 3, 2012) was an American actor, television producer, Grammy Award -winning Southern-gospel singer, and writer.","June 1, 1926"
when was andy griffith born,"Andy Samuel Griffith (June 1, 1926 – July 3, 2012) was an American actor, television producer, Grammy Award -winning Southern-gospel singer, and writer.","June 1, 1926"
who is norah jones parents,She is the daughter of Indian sitar player Ravi Shankar and Sue Jones.,Ravi Shankar and Sue Jones
who is norah jones parents,She is the daughter of Indian sitar player Ravi Shankar and Sue Jones.,Ravi Shankar and Sue Jones
what is the capacity of the cowboy stadium,"The stadium seats 85,000, making it the third largest stadium in the NFL by seating capacity .","85,000"
what is the capacity of the cowboy stadium,"The stadium seats 85,000, making it the third largest stadium in the NFL by seating capacity .","85,000"
what is the capacity of the cowboy stadium,"The maximum capacity of the stadium, including standing room, is 105,000.","105,000"
